ids;dominios;Qtd
11;https://mangaplus.shueisha.co.jp;1
12;http://centraldemangas.online;1
13;https://unionleitor.top;1
14;https://animesonlines.site;1
15;https://www.animefreak.tv;1
16;https://animesonline.vip;1
17;https://fapdu.com;1
18;https://beeg.com;1
19;https://www.youporn.com;3
20;https://www.redtube.com;1
21;https://www.xnxx.com;1
22;https://www.pornhub.com;1
23;https://xhamster.com;1
24;https://nhentai.net;1
25;https://mundohentaioficial.com;1
26;https://mangoporn.net;2
27;http://www.dvdtrailertube.com;2
28;https://www.hd-easyporn.com;1
29;https://pornvibe.org;2
30;https://www.pussyspace.com;1
31;http://www.gameofporn.net;2
32;https://cameraprive.com;2
33;https://spankbang.com;1
34;https://www.redtube.com.br;2
35;https://www.legalporno.com;1
36;https://www.thepornlist.net;1
37;https://thepornmap.com;1
38;https://www.elasnacam.com;1
39;https://boafoda.com;1
40;https://www.boafoda.com;3
41;https://pornone.com;3
42;https://youporn.com;1
43;http://www.veporns.com;2
44;https://www.theduckwebcomics.com;1
45;https://www.dailymotion.com;1
46;https://hentaipornobr.com;1
47;https://pt.pornhub.com;2
48;https://www.tufos.com.br;1
49;https://www.assistirhentai.com;1
50;https://theporndude.com;5
51;https://www.assoass.com;1
52;https://www.porntrex.com;1
53;https://txxx.com;1
54;https://pt.xhamster.com;1
55;https://www.4tube.com;1
56;http://www.spicytranny.com;1
57;https://www.pornocarioca.com;1
58;https://javfinder.la;1
59;https://www.xpaja.net;1
60;http://www.fetishnetwork.com;1
61;https://jav.guru;1
62;http://abuseme.com;1
63;https://avgle.com;1
64;https://www.superhentais.com;1
65;https://rule34.paheal.net;1
66;https://hentaiplay.net;1
67;https://www.sexy-youtubers.com;1
68;http://hentaigasm.com;1
69;https://network.nutaku.net;1
70;https://www.pornolandia.xxx;1
71;https://efukt.com;1
72;https://fancentro.com;1
73;https://tiny4k.com;1
